Product,Category,Quantity,Date,Unit_Price,Amount,Channel,Customer_Name,Sex
Perfume,Cosmetics,1,2024-06-25,8000,8000,Onsite,Agbor Samuel,Female
Pen Set,Stationery,5,2024-07-11,800,4000,Online,Bih Sandra,Female
Sugar,Groceries,3,2024-08-25,1200,3600,Onsite,Ngozi Fatima,Female
Lotion,Cosmetics,3,2024-07-17,1800,5400,Online,Awah Mary,Female
T-Shirt,Clothing,8,2024-07-08,3000,24000,Online,Tabi Ernest,Male
Sneakers,Clothing,10,2024-11-04,12000,120000,Online,Ngozi Fatima,Male
Lotion,Cosmetics,4,2024-09-02,1800,7200,Onsite,Nkeng Paul,Female
Earphones,Electronics,4,2024-03-01,3000,12000,Online,Achu Cynthia,Male
Pen Set,Stationery,9,2024-06-13,800,7200,Onsite,Nfor Alice,Female
Lipstick,Cosmetics,5,2024-05-13,2000,10000,Onsite,Eyong Rita,Female
Power Bank,Electronics,6,2024-04-14,15000,90000,Onsite,Eyong Rita,Female
Bluetooth Speaker,Electronics,4,2024-03-15,20000,80000,Onsite,Ambe John,Female
Jeans,Clothing,4,2024-06-17,8000,32000,Online,Awah Mary,Female
Calculator,Stationery,6,2024-05-11,5000,30000,Onsite,Achu Cynthia,Female
Sugar,Groceries,3,2024-03-12,1200,3600,Online,Njoku Rose,Female
Face Cream,Cosmetics,9,2024-01-18,3500,31500,Online,Tabi Ernest,Male
Pen Set,Stationery,4,2024-02-04,800,3200,Online,Fon Peter,Male
Perfume,Cosmetics,6,2024-01-31,8000,48000,Onsite,Obi Stella,Female
Phone Charger,Electronics,9,2024-10-09,2500,22500,Online,Ndip Helen,Male
Lipstick,Cosmetics,9,2024-05-26,2000,18000,Online,Ambe John,Female
Phone Charger,Electronics,9,2024-03-17,2500,22500,Onsite,Awah Mary,Male
Dress,Clothing,7,2024-02-10,7500,52500,Onsite,Eyong Rita,Female
Hair Oil,Cosmetics,4,2024-06-02,2500,10000,Online,Tabi Ernest,Male
Printer Paper,Stationery,7,2024-10-09,3000,21000,Online,Achu Cynthia,Male
Rice (5Kg),Groceries,8,2024-08-10,3500,28000,Online,Mbarga Felix,Male
Cooking Oil,Groceries,10,2024-08-31,2000,20000,Online,Tita George,Male
Cap,Clothing,10,2024-12-02,2000,20000,Onsite,Ngozi Fatima,Male
Earphones,Electronics,10,2024-03-14,3000,30000,Onsite,Agbor Samuel,Male
Tomato Paste,Groceries,4,2024-10-17,500,2000,Onsite,Agbor Samuel,Female
Rice (5Kg),Groceries,9,2024-06-26,3500,31500,Onsite,Ngozi Fatima,Male
Rice (5Kg),Groceries,6,2024-11-05,3500,21000,Onsite,Obi Stella,Female
Usb Cable,Electronics,8,2024-09-08,1500,12000,Onsite,Awah Mary,Female
Pen Set,Stationery,10,2024-12-04,800,8000,Onsite,Agbor Samuel,Male
Rice (5Kg),Groceries,2,2024-05-17,3500,7000,Online,Fon Peter,Female
Stapler,Stationery,6,2024-02-24,2500,15000,Onsite,Tabi Ernest,Male
Stapler,Stationery,5,2024-02-22,2500,12500,Online,Fon Peter,Male
Printer Paper,Stationery,9,2024-10-11,3000,27000,Online,Mbom David,Female
Phone Charger,Electronics,6,2024-10-10,2500,15000,Onsite,Tabi Ernest,Female
Usb Cable,Electronics,7,2024-07-17,1500,10500,Online,Tabi Ernest,Male
Pen Set,Stationery,3,2024-05-17,800,2400,Onsite,Nfor Alice,Female
Rice (5Kg),Groceries,3,2024-08-10,3500,10500,Onsite,Tita George,Female
Notebook,Stationery,6,2024-05-08,500,3000,Online,Awah Mary,Female
Notebook,Stationery,3,2024-06-04,500,1500,Onsite,Ambe John,Female
Perfume,Cosmetics,6,2024-08-13,8000,48000,Online,Mbarga Felix,Female
Dress,Clothing,10,2024-12-21,7500,75000,Onsite,Nkeng Paul,Female
Flour,Groceries,6,2024-05-29,1800,10800,Onsite,Achu Cynthia,Male
Stapler,Stationery,7,2024-07-05,2500,17500,Online,Mbah Grace,Male
Face Cream,Cosmetics,8,2024-12-28,3500,28000,Onsite,Nkeng Paul,Female
Power Bank,Electronics,8,2024-03-12,15000,120000,Onsite,Nfor Alice,Male
Flour,Groceries,7,2024-02-07,1800,12600,Onsite,Besong Eric,Female
Lotion,Cosmetics,7,2024-10-05,1800,12600,Online,Ngozi Fatima,Female
Earphones,Electronics,6,2024-03-26,3000,18000,Onsite,Obi Stella,Male
Sneakers,Clothing,2,2024-01-06,12000,24000,Online,Mbah Grace,Female
Lotion,Cosmetics,9,2024-10-24,1800,16200,Onsite,Tanyi Victor,Male
Sneakers,Clothing,8,2024-12-13,12000,96000,Onsite,Tanyi Victor,Male
Power Bank,Electronics,2,2024-05-31,15000,30000,Online,Ndip Helen,Male
Sugar,Groceries,5,2024-06-24,1200,6000,Onsite,Besong Eric,Male
Sneakers,Clothing,2,2024-08-12,12000,24000,Online,Besong Eric,Female
T-Shirt,Clothing,2,2024-01-12,3000,6000,Online,Mbarga Felix,Male
Tomato Paste,Groceries,3,2024-10-09,500,1500,Onsite,Bih Sandra,Female
Pen Set,Stationery,7,2024-11-18,800,5600,Onsite,Bih Sandra,Male
Notebook,Stationery,10,2024-04-11,500,5000,Onsite,Besong Eric,Female
Earphones,Electronics,4,2024-05-22,3000,12000,Online,Tabi Ernest,Male
Dress,Clothing,4,2024-08-22,7500,30000,Onsite,Mbah Grace,Female
Lipstick,Cosmetics,10,2024-07-17,2000,20000,Online,Obi Stella,Female
Dress,Clothing,8,2024-11-12,7500,60000,Online,Bih Sandra,Female
Sugar,Groceries,2,2024-05-02,1200,2400,Online,Nfor Alice,Male
Jeans,Clothing,9,2024-07-17,8000,72000,Onsite,Ndip Helen,Male
Pen Set,Stationery,8,2024-11-21,800,6400,Online,Njoku Rose,Male
Stapler,Stationery,3,2024-04-05,2500,7500,Online,Mbarga Felix,Female
T-Shirt,Clothing,8,2024-03-10,3000,24000,Onsite,Nkeng Paul,Female
Printer Paper,Stationery,7,2024-12-29,3000,21000,Online,Besong Eric,Female
Bluetooth Speaker,Electronics,1,2024-04-22,20000,20000,Onsite,Nfor Alice,Male
Tomato Paste,Groceries,5,2024-03-27,500,2500,Online,Besong Eric,Female
Face Cream,Cosmetics,5,2024-10-05,3500,17500,Onsite,Eyong Rita,Male
Hair Oil,Cosmetics,7,2024-02-22,2500,17500,Online,Awah Mary,Female
Stapler,Stationery,6,2024-02-14,2500,15000,Online,Besong Eric,Male
Tomato Paste,Groceries,6,2024-12-29,500,3000,Online,Obi Stella,Female
Hair Oil,Cosmetics,4,2024-04-15,2500,10000,Onsite,Ngozi Fatima,Female
Lotion,Cosmetics,3,2024-06-14,1800,5400,Onsite,Nfor Alice,Female
Face Cream,Cosmetics,3,2024-07-29,3500,10500,Online,Ngozi Fatima,Female
Cooking Oil,Groceries,3,2024-12-30,2000,6000,Onsite,Mbarga Felix,Male
Pen Set,Stationery,10,2024-11-19,800,8000,Onsite,Tita George,Female
Notebook,Stationery,2,2024-07-25,500,1000,Onsite,Mbom David,Female
Printer Paper,Stationery,6,2024-10-24,3000,18000,Onsite,Ambe John,Male
T-Shirt,Clothing,9,2024-07-22,3000,27000,Online,Nkeng Paul,Female
Stapler,Stationery,6,2024-05-25,2500,15000,Onsite,Mbarga Felix,Male
T-Shirt,Clothing,1,2024-02-20,3000,3000,Online,Besong Eric,Male
Flour,Groceries,8,2024-01-01,1800,14400,Online,Ndip Helen,Male
Jeans,Clothing,5,2024-02-17,8000,40000,Online,Eyong Rita,Female
Jeans,Clothing,1,2024-07-21,8000,8000,Onsite,Nfor Alice,Male
Phone Charger,Electronics,1,2024-04-19,2500,2500,Online,Achu Cynthia,Male
Hair Oil,Cosmetics,9,2024-12-14,2500,22500,Online,Besong Eric,Male
T-Shirt,Clothing,7,2024-12-21,3000,21000,Online,Fon Peter,Female
Flour,Groceries,2,2024-02-22,1800,3600,Onsite,Mbah Grace,Female
Jeans,Clothing,7,2024-03-09,8000,56000,Online,Fon Peter,Male
Hair Oil,Cosmetics,8,2024-06-28,2500,20000,Onsite,Nkeng Paul,Male
Perfume,Cosmetics,4,2024-02-14,8000,32000,Online,Mbah Grace,Male
Perfume,Cosmetics,6,2024-08-07,8000,48000,Online,Mbarga Felix,Male
T-Shirt,Clothing,4,2024-10-10,3000,12000,Online,Obi Stella,Female
Jeans,Clothing,9,2024-11-06,8000,72000,Onsite,Mbom David,Male
T-Shirt,Clothing,4,2024-09-10,3000,12000,Online,Agbor Samuel,Male
Calculator,Stationery,2,2024-09-27,5000,10000,Onsite,Ambe John,Female
Flour,Groceries,10,2024-08-03,1800,18000,Onsite,Eyong Rita,Male
Phone Charger,Electronics,10,2024-02-04,2500,25000,Online,Ambe John,Female
Phone Charger,Electronics,7,2024-09-16,2500,17500,Onsite,Nfor Alice,Female
Notebook,Stationery,9,2024-10-02,500,4500,Onsite,Obi Stella,Male
Usb Cable,Electronics,2,2024-09-18,1500,3000,Onsite,Nkeng Paul,Male
Calculator,Stationery,2,2024-06-07,5000,10000,Online,Ndip Helen,Male
Rice (5Kg),Groceries,7,2024-02-29,3500,24500,Onsite,Besong Eric,Male
Rice (5Kg),Groceries,1,2024-12-28,3500,3500,Online,Fon Peter,Male
Stapler,Stationery,9,2024-09-21,2500,22500,Onsite,Tita George,Male
Sugar,Groceries,2,2024-01-16,1200,2400,Onsite,Mbarga Felix,Female
Face Cream,Cosmetics,5,2024-12-30,3500,17500,Onsite,Tanyi Victor,Male
Calculator,Stationery,6,2024-01-29,5000,30000,Onsite,Achu Cynthia,Male
Sugar,Groceries,2,2024-10-20,1200,2400,Online,Mbah Grace,Male
Phone Charger,Electronics,4,2024-01-24,2500,10000,Onsite,Achu Cynthia,Female
Cooking Oil,Groceries,1,2024-10-10,2000,2000,Onsite,Ndip Helen,Male
Flour,Groceries,6,2024-05-18,1800,10800,Online,Tabi Ernest,Female
Face Cream,Cosmetics,3,2024-04-24,3500,10500,Onsite,Mbom David,Male
Power Bank,Electronics,5,2024-06-08,15000,75000,Onsite,Mbarga Felix,Male
Usb Cable,Electronics,4,2024-05-29,1500,6000,Online,Tanyi Victor,Female
Stapler,Stationery,10,2024-09-09,2500,25000,Online,Nkeng Paul,Male
Power Bank,Electronics,1,2024-04-29,15000,15000,Online,Njoku Rose,Female
T-Shirt,Clothing,7,2024-06-06,3000,21000,Online,Mbah Grace,Male
Printer Paper,Stationery,1,2024-03-13,3000,3000,Online,Tita George,Male
Tomato Paste,Groceries,7,2024-12-24,500,3500,Online,Eyong Rita,Female
Face Cream,Cosmetics,9,2024-03-09,3500,31500,Online,Agbor Samuel,Male
Pen Set,Stationery,4,2024-05-29,800,3200,Onsite,Tita George,Female
Dress,Clothing,8,2024-05-19,7500,60000,Online,Awah Mary,Male
Tomato Paste,Groceries,2,2024-03-20,500,1000,Onsite,Mbah Grace,Male
Stapler,Stationery,7,2024-03-02,2500,17500,Online,Njoku Rose,Female
Stapler,Stationery,8,2024-05-15,2500,20000,Online,Mbah Grace,Male
Cap,Clothing,1,2024-04-20,2000,2000,Online,Mbarga Felix,Male
Sugar,Groceries,7,2024-09-19,1200,8400,Onsite,Ngozi Fatima,Female
Rice (5Kg),Groceries,7,2024-08-19,3500,24500,Online,Njoku Rose,Male
Notebook,Stationery,3,2024-03-03,500,1500,Online,Ambe John,Male
Cooking Oil,Groceries,7,2024-07-09,2000,14000,Online,Tabi Ernest,Female
Phone Charger,Electronics,4,2024-11-26,2500,10000,Online,Besong Eric,Male
T-Shirt,Clothing,1,2024-08-24,3000,3000,Onsite,Ngozi Fatima,Male
Printer Paper,Stationery,1,2024-07-14,3000,3000,Onsite,Ndip Helen,Male
Cooking Oil,Groceries,5,2024-05-23,2000,10000,Online,Besong Eric,Male
Lotion,Cosmetics,10,2024-05-05,1800,18000,Onsite,Nfor Alice,Female
Perfume,Cosmetics,1,2024-02-14,8000,8000,Online,Tita George,Female
Pen Set,Stationery,9,2024-05-07,800,7200,Onsite,Njoku Rose,Male
Sneakers,Clothing,9,2024-09-05,12000,108000,Onsite,Eyong Rita,Female
Jeans,Clothing,1,2024-06-12,8000,8000,Online,Obi Stella,Male
T-Shirt,Clothing,8,2024-09-28,3000,24000,Online,Eyong Rita,Male
Earphones,Electronics,4,2024-05-16,3000,12000,Online,Njoku Rose,Male
Perfume,Cosmetics,6,2024-03-29,8000,48000,Onsite,Bih Sandra,Male
Cap,Clothing,1,2024-12-26,2000,2000,Online,Eyong Rita,Male
Calculator,Stationery,5,2024-03-30,5000,25000,Online,Achu Cynthia,Male
Earphones,Electronics,10,2024-04-22,3000,30000,Online,Ambe John,Female
Cap,Clothing,4,2024-03-07,2000,8000,Onsite,Mbarga Felix,Male
Phone Charger,Electronics,3,2024-10-27,2500,7500,Onsite,Fon Peter,Male
Usb Cable,Electronics,7,2024-10-27,1500,10500,Onsite,Mbah Grace,Female
Jeans,Clothing,3,2024-08-11,8000,24000,Online,Achu Cynthia,Female
Lotion,Cosmetics,6,2024-04-24,1800,10800,Onsite,Tanyi Victor,Male
Dress,Clothing,3,2024-03-31,7500,22500,Online,Ambe John,Female
Tomato Paste,Groceries,6,2024-11-09,500,3000,Onsite,Awah Mary,Male
Sugar,Groceries,2,2024-05-01,1200,2400,Online,Eyong Rita,Female
Usb Cable,Electronics,8,2024-01-06,1500,12000,Online,Tita George,Male
Usb Cable,Electronics,5,2024-02-25,1500,7500,Onsite,Ambe John,Male
